"item_num","code","omop_concept_id","omop_source_concept_id","target_domain_id","rationale","reviewer","reviewed_at"
"780","","","","","eodTumorSize","",""
"785","","","","","derivedEod2018T","",""
"790","","","","","eodExtension","",""
"795","","","","","derivedEod2018M","",""
"800","","","","","eodExtensionProstPath","",""
"810","","","","","eodLymphNodeInvolv","",""
"815","","","","","derivedEod2018N","",""
"818","","","","","derivedEod2018StageGroup","",""
"820","","","","","regionalNodesPositive","",""
"830","","","","","regionalNodesExamined","",""
"832","","","","","dateSentinelLymphNodeBiopsy","",""
"834","","","","","sentinelLymphNodesExamined","",""
"835","","","","","sentinelLymphNodesPositive","",""
"840","","","","","eodOld13Digit","",""
"850","","","","","eodOld2Digit","",""
"860","","","","","eodOld4Digit","",""
"870","","","","","codingSystemForEod","",""
"880","","","","","tnmPathT","",""
"890","","","","","tnmPathN","",""
"900","","","","","tnmPathM","",""
"910","","","","","tnmPathStageGroup","",""
"920","","","","","tnmPathDescriptor","",""
"930","","","","","tnmPathStagedBy","",""
"940","","","","","tnmClinT","",""
"950","","","","","tnmClinN","",""
"960","","","","","tnmClinM","",""
"970","","","","","tnmClinStageGroup","",""
"980","","","","","tnmClinDescriptor","",""
"990","","","","","tnmClinStagedBy","",""
"995","","","","","ajccId","",""
"1001","","","","","ajccTnmClinT","",""
"1002","","","","","ajccTnmClinN","",""
"1003","","","","","ajccTnmClinM","",""
"1004","","","","","ajccTnmClinStageGroup","",""
"1011","","","","","ajccTnmPathT","",""
"1012","","","","","ajccTnmPathN","",""
"1013","","","","","ajccTnmPathM","",""
"1014","","","","","ajccTnmPathStageGroup","",""
"1021","","","","","ajccTnmPostTherapyT","",""
"1022","","","","","ajccTnmPostTherapyN","",""
"1023","","","","","ajccTnmPostTherapyM","",""
"1024","","","","","ajccTnmPostTherapyStageGroup","",""
"1031","","","","","ajccTnmClinTSuffix","",""
"1032","","","","","ajccTnmPathTSuffix","",""
"1033","","","","","ajccTnmPostTherapyTSuffix","",""
"1034","","","","","ajccTnmClinNSuffix","",""
"1035","","","","","ajccTnmPathNSuffix","",""
"1036","","","","","ajccTnmPostTherapyNSuffix","",""
"1060","","","","","tnmEditionNumber","",""
"1062","","","","","ajccTnmPostTherapyClinT","",""
"1063","","","","","ajccTnmPostTherapyClinTSuffix","",""
"1064","","","","","ajccTnmPostTherapyClinN","",""
"1065","","","","","ajccTnmPostTherapyClinNSuffix","",""
"1066","","","","","ajccTnmPostTherapyClinM","",""
"1067","","","","","ajccTnmPostTherapyClinStageGrp","",""
"1068","","","","","gradePostTherapyClin","",""
"1112","","","","","metsAtDxBone","",""
"1113","","","","","metsAtDxBrain","",""
"1114","","","","","metsAtDxDistantLn","",""
"1115","","","","","metsAtDxLiver","",""
"1116","","","","","metsAtDxLung","",""
"1117","","","","","metsAtDxOther","",""
"1120","","","","","pediatricStage","",""
"1130","","","","","pediatricStagingSystem","",""
"1132","","","","","pediatricId","",""
"1133","","","","","pediatricIdVersionCurrent","",""
"1134","","","","","pediatricIdVersionOriginal","",""
"1135","","","","","torontoVersionNumber","",""
"1136","","","","","pediatricPrimaryTumor","",""
"1137","","","","","pediatricRegionalNodes","",""
"1138","","","","","pediatricMets","",""
"1140","","","","","pediatricStagedBy","",""
"1142","","","","","derivedPediatricT","",""
"1143","","","","","derivedPediatricN","",""
"1144","","","","","derivedPediatricM","",""
"1145","","","","","derivedPediatricStageGroup","",""
"1146","","","","","torontoT","",""
"1147","","","","","torontoN","",""
"1148","","","","","torontoM","",""
"1149","","","","","torontoStageGroup","",""
"1150","","","","","tumorMarker1","",""
"1160","","","","","tumorMarker2","",""
"1170","","","","","tumorMarker3","",""
"1172","","","","","ptld","",""
"1174","","","","","pdl1","",""
"1182","","","","","lymphVascularInvasion","",""
"1184","","","","","whiteBloodCellCount","",""
"1185","","","","","inrgss","",""
"1186","","","","","nMycAmplification","",""
"1187","","","","","inpc","",""
"1188","","","","","irssStageForEye2","",""
"1189","","","","","chromosome16qLossHeterozygosity","",""
"1190","","","","","chromosome1qStatus","",""
"1191","","","","","ewsr1Fli1Fusion","",""
"1192","","","","","pretextClinicalStaging","",""
"1193","","","","","foxo1GeneRearrangements","",""
"1200","","","","","rxDateSurgery","",""
"1210","","","","","rxDateRadiation","",""
"1220","","","","","rxDateChemo","",""
"1230","","","","","rxDateHormone","",""
"1240","","","","","rxDateBrm","",""
"1250","","","","","rxDateOther","",""
"1260","","","","","dateInitialRxSeer","",""
"1270","","","","","date1stCrsRxCoc","",""
"1280","","","","","rxDateDxStgProc","",""
"1285","","","","","rxSummTreatmentStatus","",""
"1290","","","","","rxSummSurgPrimSite","",""
"1291","","","","","rxSummSurgPrimSite2023","",""
"1292","","","","","rxSummScopeRegLnSur","",""
"1294","","","","","rxSummSurgOthRegDis","",""
"1296","","","","","rxSummRegLnExamined","",""
"1310","","","","","rxSummSurgicalApproch","",""
"1320","","","","","rxSummSurgicalMargins","",""
"1330","","","","","rxSummReconstruct1st","",""
"1335","","","","","rxSummReconBreast","",""
"1340","","","","","reasonForNoSurgery","",""
"1350","","","","","rxSummDxStgProc","",""
"1360","","","","","rxSummRadiation","",""
"1370","","","","","rxSummRadToCns","",""
"1380","","","","","rxSummSurgRadSeq","",""
"1390","","","","","rxSummChemo","",""
"1400","","","","","rxSummHormone","",""
"1410","","","","","rxSummBrm","",""
"1420","","","","","rxSummOther","",""
"1430","","","","","reasonForNoRadiation","",""
"1460","","","","","rxCodingSystemCurrent","",""
"1501","","","","","phase1DosePerFraction","",""
"1502","","","","","phase1RadiationExternalBeamTech","",""
"1503","","","","","phase1NumberOfFractions","",""
"1504","","","","","phase1RadiationPrimaryTxVolume","",""
"1505","","","","","phase1RadiationToDrainingLN","",""
"1506","","","","","phase1RadiationTreatmentModality","",""
"1507","","","","","phase1TotalDose","",""
"1511","","","","","phase2DosePerFraction","",""
"1512","","","","","phase2RadiationExternalBeamTech","",""
"1513","","","","","phase2NumberOfFractions","",""
"1514","","","","","phase2RadiationPrimaryTxVolume","",""
"1515","","","","","phase2RadiationToDrainingLN","",""
"1516","","","","","phase2RadiationTreatmentModality","",""
"1517","","","","","phase2TotalDose","",""
"1521","","","","","phase3DosePerFraction","",""
"1522","","","","","phase3RadiationExternalBeamTech","",""
"1523","","","","","phase3NumberOfFractions","",""
"1524","","","","","phase3RadiationPrimaryTxVolume","",""
"1525","","","","","phase3RadiationToDrainingLN","",""
"1526","","","","","phase3RadiationTreatmentModality","",""
"1527","","","","","phase3TotalDose","",""
"1531","","","","","radiationTxDiscontinuedEarly","",""
"1532","","","","","numberPhasesOfRadTxToVolume","",""
"1533","","","","","totalDose","",""
"1550","","","","","radLocationOfRx","",""
"1570","","","","","radRegionalRxModality","",""
"1632","","","","","neoadjuvantTherapy","",""
"1633","","","","","neoadjuvTherapyClinicalResponse","",""
"1634","","","","","neoadjuvTherapyTreatmentEffect","",""
"1639","","","","","rxSummSystemicSurSeq","",""
"1640","","","","","rxSummSurgeryType","",""
"1646","","","","","rxSummSurgSite9802","",""
"1647","","","","","rxSummScopeReg9802","",""
"1648","","","","","rxSummSurgOth9802","",""
"1660","","","","","subsqRx2ndCourseDate","",""
"1671","","","","","subsqRx2ndCourseSurg","",""
"1672","","","","","subsqRx2ndCourseRad","",""
"1673","","","","","subsqRx2ndCourseChemo","",""
"1674","","","","","subsqRx2ndCourseHorm","",""
"1675","","","","","subsqRx2ndCourseBrm","",""
"1676","","","","","subsqRx2ndCourseOth","",""
"1677","","","","","subsqRx2ndScopeLnSu","",""
"1678","","","","","subsqRx2ndSurgOth","",""
"1679","","","","","subsqRx2ndRegLnRem","",""
"1680","","","","","subsqRx3rdCourseDate","",""
"1691","","","","","subsqRx3rdCourseSurg","",""
"1692","","","","","subsqRx3rdCourseRad","",""
"1693","","","","","subsqRx3rdCourseChemo","",""
"1694","","","","","subsqRx3rdCourseHorm","",""
"1695","","","","","subsqRx3rdCourseBrm","",""
"1696","","","","","subsqRx3rdCourseOth","",""
"1697","","","","","subsqRx3rdScopeLnSu","",""
"1698","","","","","subsqRx3rdSurgOth","",""
"1699","","","","","subsqRx3rdRegLnRem","",""
"1700","","","","","subsqRx4thCourseDate","",""
"1711","","","","","subsqRx4thCourseSurg","",""
"1712","","","","","subsqRx4thCourseRad","",""
"1713","","","","","subsqRx4thCourseChemo","",""
"1714","","","","","subsqRx4thCourseHorm","",""
"1715","","","","","subsqRx4thCourseBrm","",""
"1716","","","","","subsqRx4thCourseOth","",""
"1717","","","","","subsqRx4thScopeLnSu","",""
"1718","","","","","subsqRx4thSurgOth","",""
"1719","","","","","subsqRx4thRegLnRem","",""
"1750","","","","","dateOfLastContact","",""
"1755","","","","","dateOfDeathCanada","",""
"1760","","","","","vitalStatus","",""
"1762","","","","","vitalStatusRecode","",""
"1770","","","","","cancerStatus","",""
"1772","","","","","dateOfLastCancerStatus","",""
"1775","","","","","recordNumberRecode","",""
"1782","","","","","survDateActiveFollowup","",""
"1783","","","","","survFlagActiveFollowup","",""
"1784","","","","","survMosActiveFollowup","",""
"1785","","","","","survDatePresumedAlive","",""
"1786","","","","","survFlagPresumedAlive","",""
"1787","","","","","survMosPresumedAlive","",""
"1788","","","","","survDateDxRecode","",""
"1790","","","","","followUpSource","",""
"1791","","","","","followUpSourceCentral","",""
"1800","","","","","nextFollowUpSource","",""
"1810","","","","","addrCurrentCity","",""
"1820","","","","","addrCurrentState","",""
"1830","","","","","addrCurrentPostalCode","",""
"1832","","","","","addrCurrentCountry","",""
"1840","","","","","countyCurrent","",""
"1842","","","","","followUpContactCity","",""
"1844","","","","","followUpContactState","",""
"1846","","","","","followUpContactPostal","",""
"1847","","","","","followupContactCountry","",""
"1850","","","","","unusualFollowUpMethod","",""
"1854","","","","","noPatientContactFlag","",""
"1856","","","","","reportingFacilityRestrictionFlag","",""
"1860","","","","","recurrenceDate1st","",""
"1880","","","","","recurrenceType1st","",""
"1910","","","","","causeOfDeath","",""
"1914","","","","","seerCauseSpecificCod","",""
"1915","","","","","seerOtherCod","",""
"1920","","","","","icdRevisionNumber","",""
"1930","","","","","autopsy","",""
"1942","","","","","placeOfDeathState","",""
"1944","","","","","placeOfDeathCountry","",""
"1975","","","","","derivedSummaryGrade2018","",""
"2230","","","","","nameLast","",""
"2232","","","","","nameBirthSurname","",""
"2240","","","","","nameFirst","",""
"2250","","","","","nameMiddle","",""
"2260","","","","","namePrefix","",""
"2270","","","","","nameSuffix","",""
"2280","","","","","nameAlias","",""
"2290","","","","","nameSpouseParent","",""
"2300","","","","","medicalRecordNumber","",""
"2315","","","","","medicareBeneficiaryIdentifier","",""
"2320","","","","","socialSecurityNumber","",""
"2330","","","","","addrAtDxNoStreet","",""
"2335","","","","","addrAtDxSupplementl","",""
"2350","","","","","addrCurrentNoStreet","",""
"2352","","","","","latitude","",""
"2354","","","","","longitude","",""
"2355","","","","","addrCurrentSupplementl","",""
"2360","","","","","telephone","",""
"2380","","","","","dcStateFileNumber","",""
"2392","","","","","followUpContactNost","",""
"2393","","","","","followUpContactSuppl","",""
"2394","","","","","followUpContactName","",""
"2460","","","","","physicianManaging","",""
"2465","","","","","npiPhysicianManaging","",""
"2470","","","","","physicianFollowUp","",""
"2475","","","","","npiPhysicianFollowUp","",""
"2480","","","","","physicianPrimarySurg","",""
"2485","","","","","npiPhysicianPrimarySurg","",""
"2490","","","","","physician3","",""
"2495","","","","","npiPhysician3","",""
"2500","","","","","physician4","",""
"2505","","","","","npiPhysician4","",""
"2508","","","","","ehrReporting","",""
"2520","","","","","textDxProcPe","",""
"2530","","","","","textDxProcXRayScan","",""
"2540","","","","","textDxProcScopes","",""
"2550","","","","","textDxProcLabTests","",""
"2560","","","","","textDxProcOp","",""
"2570","","","","","textDxProcPath","",""
"2580","","","","","textPrimarySiteTitle","",""
"2590","","","","","textHistologyTitle","",""
"2600","","","","","textStaging","",""
"2610","","","","","rxTextSurgery","",""
"2620","","","","","rxTextRadiation","",""
"2630","","","","","rxTextRadiationOther","",""
"2640","","","","","rxTextChemo","",""
"2650","","","","","rxTextHormone","",""
"2660","","","","","rxTextBrm","",""
"2670","","","","","rxTextOther","",""
"2680","","","","","textRemarks","",""
"2690","","","","","textPlaceOfDiagnosis","",""
"2800","","","","","csTumorSize","",""
"2810","","","","","csExtension","",""
"2820","","","","","csTumorSizeExtEval","",""
"2830","","","","","csLymphNodes","",""
"2840","","","","","csLymphNodesEval","",""
"2850","","","","","csMetsAtDx","",""
"2851","","","","","csMetsAtDxBone","",""
"2852","","","","","csMetsAtDxBrain","",""
"2853","","","","","csMetsAtDxLiver","",""
"2854","","","","","csMetsAtDxLung","",""
"2860","","","","","csMetsEval","",""
"2861","","","","","csSiteSpecificFactor7","",""
"2862","","","","","csSiteSpecificFactor8","",""
"2863","","","","","csSiteSpecificFactor9","",""
"2864","","","","","csSiteSpecificFactor10","",""
"2865","","","","","csSiteSpecificFactor11","",""
"2866","","","","","csSiteSpecificFactor12","",""
"2867","","","","","csSiteSpecificFactor13","",""
"2868","","","","","csSiteSpecificFactor14","",""
"2869","","","","","csSiteSpecificFactor15","",""
"2870","","","","","csSiteSpecificFactor16","",""
"2871","","","","","csSiteSpecificFactor17","",""
"2872","","","","","csSiteSpecificFactor18","",""
"2873","","","","","csSiteSpecificFactor19","",""
"2874","","","","","csSiteSpecificFactor20","",""
"2875","","","","","csSiteSpecificFactor21","",""
"2876","","","","","csSiteSpecificFactor22","",""
"2877","","","","","csSiteSpecificFactor23","",""
"2878","","","","","csSiteSpecificFactor24","",""
"2879","","","","","csSiteSpecificFactor25","",""
"2880","","","","","csSiteSpecificFactor1","",""
"2890","","","","","csSiteSpecificFactor2","",""
"2900","","","","","csSiteSpecificFactor3","",""
"2910","","","","","csSiteSpecificFactor4","",""
"2920","","","","","csSiteSpecificFactor5","",""
"2930","","","","","csSiteSpecificFactor6","",""
"2935","","","","","csVersionInputOriginal","",""
"2936","","","","","csVersionDerived","",""
"2937","","","","","csVersionInputCurrent","",""
"2940","","","","","derivedAjcc6T","",""
"2950","","","","","derivedAjcc6TDescript","",""
"2960","","","","","derivedAjcc6N","",""
"2970","","","","","derivedAjcc6NDescript","",""
"2980","","","","","derivedAjcc6M","",""
"2990","","","","","derivedAjcc6MDescript","",""
"3000","","","","","derivedAjcc6StageGrp","",""
"3010","","","","","derivedSs1977","",""
"3020","","","","","derivedSs2000","",""
"3030","","","","","derivedAjccFlag","",""
"3040","","","","","derivedSs1977Flag","",""
"3050","","","","","derivedSs2000Flag","",""
"3100","","","","","archiveFin","",""
"3105","","","","","npiArchiveFin","",""
"3110","","","","","comorbidComplication1","",""
"3120","","","","","comorbidComplication2","",""
"3130","","","","","comorbidComplication3","",""
"3140","","","","","comorbidComplication4","",""
"3150","","","","","comorbidComplication5","",""
"3160","","","","","comorbidComplication6","",""
"3161","","","","","comorbidComplication7","",""
"3162","","","","","comorbidComplication8","",""
"3163","","","","","comorbidComplication9","",""
"3164","","","","","comorbidComplication10","",""
"3165","","","","","icdRevisionComorbid","",""
"3170","","","","","rxDateMostDefinSurg","",""
"3180","","","","","rxDateSurgicalDisch","",""
"3190","","","","","readmSameHosp30Days","",""
"3220","","","","","rxDateRadiationEnded","",""
"3230","","","","","rxDateSystemic","",""
"3250","","","","","rxSummTransplntEndocr","",""
"3270","","","","","rxSummPalliativeProc","",""
"3280","","","","","rxHospPalliativeProc","",""
"3300","","","","","ruralurbanContinuum1993","",""
"3310","","","","","ruralurbanContinuum2003","",""
"3312","","","","","ruralurbanContinuum2013","",""
"3400","","","","","derivedAjcc7T","",""
"3402","","","","","derivedAjcc7TDescript","",""
"3410","","","","","derivedAjcc7N","",""
"3412","","","","","derivedAjcc7NDescript","",""
"3420","","","","","derivedAjcc7M","",""
"3422","","","","","derivedAjcc7MDescript","",""
"3430","","","","","derivedAjcc7StageGrp","",""
"3605","","","","","derivedSeerPathStgGrp","",""
"3610","","","","","derivedSeerClinStgGrp","",""
"3614","","","","","derivedSeerCmbStgGrp","",""
"3616","","","","","derivedSeerCombinedT","",""
"3618","","","","","derivedSeerCombinedN","",""
"3620","","","","","derivedSeerCombinedM","",""
"3622","","","","","derivedSeerCmbTSrc","",""
"3624","","","","","derivedSeerCmbNSrc","",""
"3626","","","","","derivedSeerCmbMSrc","",""
"3645","","","","","npcrDerivedAjcc8TnmClinStgGrp","",""
"3646","","","","","npcrDerivedAjcc8TnmPathStgGrp","",""
"3647","","","","","npcrDerivedAjcc8TnmPostStgGrp","",""
"3700","","","","","seerSiteSpecificFact1","",""
"3702","","","","","seerSiteSpecificFact2","",""
"3704","","","","","seerSiteSpecificFact3","",""
"3706","","","","","seerSiteSpecificFact4","",""
"3708","","","","","seerSiteSpecificFact5","",""
"3710","","","","","seerSiteSpecificFact6","",""
"3780","","","","","secondaryDiagnosis1","",""
"3782","","","","","secondaryDiagnosis2","",""
"3784","","","","","secondaryDiagnosis3","",""
"3786","","","","","secondaryDiagnosis4","",""
"3788","","","","","secondaryDiagnosis5","",""
"3790","","","","","secondaryDiagnosis6","",""
"3792","","","","","secondaryDiagnosis7","",""
"3794","","","","","secondaryDiagnosis8","",""
"3796","","","","","secondaryDiagnosis9","",""
"3798","","","","","secondaryDiagnosis10","",""
"3800","","","","","schemaId","",""
"3801","","","","","chromosome1pLossHeterozygosity","",""
"3802","","","","","chromosome19qLossHeterozygosity","",""
"3803","","","","","adenoidCysticBasaloidPattern","",""
"3804","","","","","adenopathy","",""
"3805","","","","","afpPostOrchiectomyLabValue","",""
"3806","","","","","afpPostOrchiectomyRange","",""
"3807","","","","","afpPreOrchiectomyLabValue","",""
"3808","","","","","afpPreOrchiectomyRange","",""
"3809","","","","","afpPretreatmentInterpretation","",""
"3810","","","","","afpPretreatmentLabValue","",""
"3811","","","","","anemia","",""
"3812","","","","","bSymptoms","",""
"3813","","","","","bilirubinPretxTotalLabValue","",""
"3814","","","","","bilirubinPretxUnitOfMeasure","",""
"3815","","","","","boneInvasion","",""
"3816","","","","","brainMolecularMarkers","",""
"3817","","","","","breslowTumorThickness","",""
"3818","","","","","ca125PretreatmentInterpretation","",""
"3819","","","","","ceaPretreatmentInterpretation","",""
"3820","","","","","ceaPretreatmentLabValue","",""
"3821","","","","","chromosome3Status","",""
"3822","","","","","chromosome8qStatus","",""
"3823","","","","","circumferentialResectionMargin","",""
"3824","","","","","creatininePretreatmentLabValue","",""
"3825","","","","","creatininePretxUnitOfMeasure","",""
"3826","","","","","estrogenReceptorPercntPosOrRange","",""
"3827","","","","","estrogenReceptorSummary","",""
"3828","","","","","estrogenReceptorTotalAllredScore","",""
"3829","","","","","esophagusAndEgjTumorEpicenter","",""
"3830","","","","","extranodalExtensionClin","",""
"3831","","","","","extranodalExtensionHeadNeckClin","",""
"3832","","","","","extranodalExtensionHeadNeckPath","",""
"3833","","","","","extranodalExtensionPath","",""
"3834","","","","","extravascularMatrixPatterns","",""
"3835","","","","","fibrosisScore","",""
"3836","","","","","figoStage","",""
"3837","","","","","gestationalTrophoblasticPxIndex","",""
"3838","","","","","gleasonPatternsClinical","",""
"3839","","","","","gleasonPatternsPathological","",""
"3840","","","","","gleasonScoreClinical","",""
"3841","","","","","gleasonScorePathological","",""
"3842","","","","","gleasonTertiaryPattern","",""
"3843","","","","","gradeClinical","",""
"3844","","","","","gradePathological","",""
"3845","","","","","gradePostTherapy","",""
"3846","","","","","hcgPostOrchiectomyLabValue","",""
"3847","","","","","hcgPostOrchiectomyRange","",""
"3848","","","","","hcgPreOrchiectomyLabValue","",""
"3849","","","","","hcgPreOrchiectomyRange","",""
"3850","","","","","her2IhcSummary","",""
"3851","","","","","her2IshDualProbeCopyNumber","",""
"3852","","","","","her2IshDualProbeRatio","",""
"3853","","","","","her2IshSingleProbeCopyNumber","",""
"3854","","","","","her2IshSummary","",""
"3855","","","","","her2OverallSummary","",""
"3856","","","","","heritableTrait","",""
"3857","","","","","highRiskCytogenetics","",""
"3858","","","","","highRiskHistologicFeatures","",""
"3859","","","","","hivStatus","",""
"3860","","","","","iNRProthrombinTime","",""
"3861","","","","","ipsilateralAdrenalGlandInvolve","",""
"3862","","","","","jak2","",""
"3863","","","","","ki67","",""
"3864","","","","","invasionBeyondCapsule","",""
"3865","","","","","kitGeneImmunohistochemistry","",""
"3866","","","","","kras","",""
"3867","","","","","ldhPostOrchiectomyRange","",""
"3868","","","","","ldhPreOrchiectomyRange","",""
"3869","","","","","ldhPretreatmentLevel","",""
"3870","","","","","ldhUpperLimitsOfNormal","",""
"3871","","","","","lnAssessMethodFemoralInguinal","",""
"3872","","","","","lnAssessMethodParaaortic","",""
"3873","","","","","lnAssessMethodPelvic","",""
"3874","","","","","lnDistantAssessMethod","",""
"3875","","","","","lnDistantMediastinalScalene","",""
"3876","","","","","lnHeadAndNeckLevels1To3","",""
"3877","","","","","lnHeadAndNeckLevels4To5","",""
"3878","","","","","lnHeadAndNeckLevels6To7","",""
"3879","","","","","lnHeadAndNeckOther","",""
"3880","","","","","lnIsolatedTumorCells","",""
"3881","","","","","lnLaterality","",""
"3882","","","","","lnPositiveAxillaryLevel1To2","",""
"3883","","","","","lnSize","",""
"3885","","","","","lymphocytosis","",""
"3886","","","","","majorVeinInvolvement","",""
"3887","","","","","measuredBasalDiameter","",""
"3888","","","","","measuredThickness","",""
"3889","","","","","methylationOfO6MGMT","",""
"3890","","","","","microsatelliteInstability","",""
"3891","","","","","microvascularDensity","",""
"3892","","","","","mitoticCountUvealMelanoma","",""
"3893","","","","","mitoticRateMelanoma","",""
"3894","","","","","multigeneSignatureMethod","",""
"3895","","","","","multigeneSignatureResults","",""
"3896","","","","","nccnInternationalPrognosticIndex","",""
"3897","","","","","numberOfCoresExamined","",""
"3898","","","","","numberOfCoresPositive","",""
"3899","","","","","numberOfExaminedParaAorticNodes","",""
"3900","","","","","numberOfExaminedPelvicNodes","",""
"3901","","","","","numberOfPositiveParaAorticNodes","",""
"3902","","","","","numberOfPositivePelvicNodes","",""
"3903","","","","","oncotypeDxRecurrenceScoreDcis","",""
"3904","","","","","oncotypeDxRecurrenceScoreInvasiv","",""
"3905","","","","","oncotypeDxRiskLevelDcis","",""
"3906","","","","","oncotypeDxRiskLevelInvasive","",""
"3907","","","","","organomegaly","",""
"3908","","","","","percentNecrosisPostNeoadjuvant","",""
"3909","","","","","perineuralInvasion","",""
"3910","","","","","peripheralBloodInvolvement","",""
"3911","","","","","peritonealCytology","",""
"3913","","","","","pleuralEffusion","",""
"3914","","","","","progesteroneRecepPrcntPosOrRange","",""
